observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2021-03-25,YAHOO-CONTINUOUS-ZT,40.3,-1,cme_fixed_ics_ratio_proxy
2021-03-26,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-03-26,ERIS-YIW-202012,46.44,-1,eris_settlement_dv01
2021-03-26,YAHOO-CONTINUOUS-ZF,46.44,-1,cme_fixed_ics_ratio_proxy
2021-03-26,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-03-29,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-29,ERIS-YIW-202012,46.25,-1,eris_settlement_dv01
2021-03-29,YAHOO-CONTINUOUS-ZF,46.25,-1,cme_fixed_ics_ratio_proxy
2021-03-29,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-30,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-30,ERIS-YIW-202012,46.17,-1,eris_settlement_dv01
2021-03-30,YAHOO-CONTINUOUS-ZF,46.17,-1,cme_fixed_ics_ratio_proxy
2021-03-30,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-31,ERIS-YIT-202109,20.11,-1,eris_settlement_dv01
2021-03-31,ERIS-YIW-202012,46.09,-1,eris_settlement_dv01
2021-03-31,YAHOO-CONTINUOUS-ZF,46.09,-1,cme_fixed_ics_ratio_proxy
2021-03-31,YAHOO-CONTINUOUS-ZT,40.22,-1,cme_fixed_ics_ratio_proxy
2021-04-01,ERIS-YIT-202109,20.11,-1,eris_settlement_dv01
2021-04-01,ERIS-YIW-202012,46.14,-1,eris_settlement_dv01
2021-04-01,YAHOO-CONTINUOUS-ZF,46.14,-1,cme_fixed_ics_ratio_proxy
2021-04-01,YAHOO-CONTINUOUS-ZT,40.22,-1,cme_fixed_ics_ratio_proxy
2021-04-02,ERIS-YIT-202109,20.09,-1,eris_settlement_dv01
2021-04-02,ERIS-YIW-202012,45.85,-1,eris_settlement_dv01
2021-04-05,ERIS-YIT-202109,20.1,-1,eris_settlement_dv01
2021-04-05,ERIS-YIW-202012,45.93,-1,eris_settlement_dv01
2021-04-05,YAHOO-CONTINUOUS-ZF,45.93,-1,cme_fixed_ics_ratio_proxy
2021-04-05,YAHOO-CONTINUOUS-ZT,40.2,-1,cme_fixed_ics_ratio_proxy
2021-04-06,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-04-06,ERIS-YIW-202012,46.07,-1,eris_settlement_dv01
2021-04-06,YAHOO-CONTINUOUS-ZF,46.07,-1,cme_fixed_ics_ratio_proxy
2021-04-06,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-04-07,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-04-07,ERIS-YIW-202012,46.09,-1,eris_settlement_dv01
2021-04-07,YAHOO-CONTINUOUS-ZF,46.09,-1,cme_fixed_ics_ratio_proxy
2021-04-07,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-04-08,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-04-08,ERIS-YIW-202012,46.14,-1,eris_settlement_dv01
2021-04-08,YAHOO-CONTINUOUS-ZF,46.14,-1,cme_fixed_ics_ratio_proxy
2021-04-08,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-04-09,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-04-09,ERIS-YIW-202012,46.04,-1,eris_settlement_dv01
2021-04-09,YAHOO-CONTINUOUS-ZF,46.04,-1,cme_fixed_ics_ratio_proxy
2021-04-09,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-04-12,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-04-12,ERIS-YIW-202012,45.93,-1,eris_settlement_dv01
2021-04-12,YAHOO-CONTINUOUS-ZF,45.93,-1,cme_fixed_ics_ratio_proxy
2021-04-12,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-04-13,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-04-13,ERIS-YIW-202012,46.04,-1,eris_settlement_dv01
2021-04-13,YAHOO-CONTINUOUS-ZF,46.04,-1,cme_fixed_ics_ratio_proxy
2021-04-13,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-04-14,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-04-14,ERIS-YIW-202012,45.99,-1,eris_settlement_dv01
2021-04-14,YAHOO-CONTINUOUS-ZF,45.99,-1,cme_fixed_ics_ratio_proxy
2021-04-14,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-04-15,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-04-15,ERIS-YIW-202012,46.13,-1,eris_settlement_dv01
2021-04-15,YAHOO-CONTINUOUS-ZF,46.13,-1,cme_fixed_ics_ratio_proxy
2021-04-15,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-04-16,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-04-16,ERIS-YIW-202012,46.04,-1,eris_settlement_dv01
2021-04-16,YAHOO-CONTINUOUS-ZF,46.04,-1,cme_fixed_ics_ratio_proxy
2021-04-16,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-04-19,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-04-19,ERIS-YIW-202012,45.95,-1,eris_settlement_dv01
2021-04-19,YAHOO-CONTINUOUS-ZF,45.95,-1,cme_fixed_ics_ratio_proxy
2021-04-19,YAHOO-CONTINUOUS-ZT,40.28,-1,cme_fixed_ics_ratio_proxy
2021-04-20,ERIS-YIT-202109,20.15,-1,eris_settlement_dv01
2021-04-20,ERIS-YIW-202012,45.99,-1,eris_settlement_dv01
2021-04-20,YAHOO-CONTINUOUS-ZF,45.99,-1,cme_fixed_ics_ratio_proxy
2021-04-20,YAHOO-CONTINUOUS-ZT,40.3,-1,cme_fixed_ics_ratio_proxy
2021-04-21,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
2021-04-21,ERIS-YIW-202012,45.94,-1,eris_settlement_dv01
