observation_date,source,series_id,maturity,rate_bps
2019-06-20,NYFED,SOFR,ON,236
2019-06-20,UST,DGS2,2Y,172
2019-06-20,UST,DGS5,5Y,174
2019-06-21,NYFED,EFFR,ON,238
2019-06-21,NYFED,SOFR,ON,237
2019-06-21,UST,DGS2,2Y,177
2019-06-21,UST,DGS5,5Y,180
2019-06-24,NYFED,EFFR,ON,238
2019-06-24,NYFED,SOFR,ON,239
2019-06-24,UST,DGS2,2Y,172
2019-06-24,UST,DGS5,5Y,175
2019-06-25,NYFED,EFFR,ON,238
2019-06-25,NYFED,SOFR,ON,241
2019-06-25,UST,DGS2,2Y,171
2019-06-25,UST,DGS5,5Y,173
2019-06-26,NYFED,EFFR,ON,238
2019-06-26,NYFED,SOFR,ON,243
2019-06-26,UST,DGS2,2Y,177
2019-06-26,UST,DGS5,5Y,180
2019-06-27,NYFED,EFFR,ON,238
2019-06-27,NYFED,SOFR,ON,242
2019-06-27,UST,DGS2,2Y,174
2019-06-27,UST,DGS5,5Y,176
2019-06-28,NYFED,EFFR,ON,240
2019-06-28,NYFED,SOFR,ON,250
2019-06-28,UST,DGS2,2Y,175
2019-06-28,UST,DGS5,5Y,176
2019-07-01,NYFED,EFFR,ON,239
2019-07-01,NYFED,SOFR,ON,242
2019-07-01,UST,DGS2,2Y,178
2019-07-01,UST,DGS5,5Y,179
2019-07-02,NYFED,EFFR,ON,240
2019-07-02,NYFED,SOFR,ON,251
2019-07-02,UST,DGS2,2Y,177
2019-07-02,UST,DGS5,5Y,175
2019-07-03,NYFED,EFFR,ON,241
2019-07-03,NYFED,SOFR,ON,256
2019-07-03,UST,DGS2,2Y,177
2019-07-03,UST,DGS5,5Y,174
2019-07-05,NYFED,EFFR,ON,242
2019-07-05,NYFED,SOFR,ON,259
2019-07-05,UST,DGS2,2Y,187
2019-07-05,UST,DGS5,5Y,184
2019-07-08,NYFED,EFFR,ON,241
2019-07-08,NYFED,SOFR,ON,248
2019-07-08,UST,DGS2,2Y,188
2019-07-08,UST,DGS5,5Y,186
2019-07-09,NYFED,EFFR,ON,241
2019-07-09,NYFED,SOFR,ON,245
2019-07-09,UST,DGS2,2Y,192
2019-07-09,UST,DGS5,5Y,188
2019-07-10,NYFED,EFFR,ON,241
2019-07-10,NYFED,SOFR,ON,246
2019-07-10,UST,DGS2,2Y,182
2019-07-10,UST,DGS5,5Y,182
2019-07-11,NYFED,EFFR,ON,240
2019-07-11,NYFED,SOFR,ON,241
2019-07-11,UST,DGS2,2Y,185
2019-07-11,UST,DGS5,5Y,188
2019-07-12,NYFED,EFFR,ON,238
2019-07-12,NYFED,SOFR,ON,236
2019-07-12,UST,DGS2,2Y,184
2019-07-12,UST,DGS5,5Y,186
2019-07-15,NYFED,EFFR,ON,240
2019-07-15,NYFED,SOFR,ON,246
2019-07-15,UST,DGS2,2Y,183
